PROVEEDOR,CATEGORIA,ID_ARTICULO,UPC,DESC_ARTICULO,DIVISION,PLAZA,MERCADO,CAMPO,NUM_TIENDA,NOMBRE_TIENDA,INVENTARIO_UDS,INVENTARIO_PESOS,VENTA_UDS_PTD,VENTA_PESOS_PTD,VENTA_PERDIDA_PESOS,ESTATUS
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.",008 Cigarros,100023889,7.50303E+12,MARLBORO FOREST FUSION MNT LATA DISCO 24,20 México,200 México,M200,C20007,2769,ALMUDENA,0,0,0.68,42.7,79,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,101000086,7.7023E+12,VUSE GO 700 BERRY BLEND 34 MG 1 PZ,50 Nuevo León,500 Nuevo León,M505,C50502,2574,PARALELO OBISPADO,0,0,0.54,36.95,80,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,101000085,7.7072E+12,VUSE GO 700 BLUEBERRY ICE 34 MG 1 PZ,10 Coahuila-Tamaulipas,100 Tamaulipas (Reynosa),M100,C10003,1579,Las Lomas Y Loma Dorada,0,0,0.36,26.46,25,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100023317,75078843,MONTANA SHOTS CLASSICS 25 PZ,30 Jalisco-Baja California-Sonora,300 Jalisco,M300,C30006,458,San Jorge,0,0,0.57,24.63,25,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100019958,75074920,PALL MALL XL ICEBER 20S 1 CAJETILLA,50 Nuevo León,500 Nuevo León,M501,C50105,73,Churubusco,0,0,0.18,11.24,5,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,101000088,7.7023E+12,VUSE GO 700 MANGO ICE 34 MG 1 PZ,20 México,200 México,M203,C20304,1196,Ajusco y Teya,0,0,0.21,16.93,73,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,101000087,7.7023E+12,VUSE GO 700 GRAPE ICE 34 MG 1 PZ,20 México,200 México,M205,C20502,476,Taxqueña,0,0,0.64,44.34,88,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,101000092,7.7023E+12,VUSE GO 3000 BLUEBERRY ICE 34 MG 1 PZ,20 México,200 México,M205,C20501,986,Miguel Laurent,0,0,0.36,92.36,34,DESABASTO
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.",008 Cigarros,100022965,75019570,MARLBORO CRAFTED 2.0 GOLD KS BOX 20,50 Nuevo León,500 Nuevo León,M505,C50504,993,Magallanes,0,0,0.79,44.7,101,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,101000088,7.7023E+12,VUSE GO 700 MANGO ICE 34 MG 1 PZ,50 Nuevo León,500 Nuevo León,M507,C50705,811,Lazarillos De Arriba,0,0,0.25,19.4,29,DESABASTO
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.",008 Cigarros,100011672,75063801,MARLBORO CRAFTED ICE MIX,30 Jalisco-Baja California-Sonora,300 Jalisco,M300,C30005,298,Arcos Del Triunfo,0,0,0.04,1.88,60,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,101000084,7.7072E+12,VUSE  GO 700 MENTHOL ICE 34 MG 1 PZ,20 México,200 México,M205,C20505,1232,Paseo de las Facultades,0,0,0.21,14.78,87,DESABASTO
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.",008 Cigarros,100014571,75069506,CHESTERFIELD ORIGIN REMIX 100 1CAJE,10 Coahuila-Tamaulipas,110 Tamaulipas (Matamoros),M110,C11002,1398,Carr. A La Playa Lauro Villar,0,0,0.18,10.91,76,DESABASTO
