PROVEEDOR,CATEGORIA,ID_ARTICULO,UPC,DESC_ARTICULO,DIVISION,PLAZA,MERCADO,CAMPO,NUM_TIENDA,NOMBRE_TIENDA,INVENTARIO_UDS,INVENTARIO_PESOS,VENTA_UDS_PTD,VENTA_PESOS_PTD,VENTA_PERDIDA_PESOS,ESTATUS
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.",008 Cigarros,100024320,75006280,FAROS FAROS KS BOX 25 CAJETILLA PZ,30 Jalisco-Baja California-Sonora,600 Baja California (Tijuana),M600,C60005,1817,Niños Heroes esq 2da,0,0,0.04,1.65,18,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100019550,75074227,LUCKY STRIKE COMET 20S 1 CAJETILLA,10 Coahuila-Tamaulipas,400 Coahuila (Saltillo),M400,C40006,1893,PEREZ TREVINO Y MATAMOROS,0,0,0.68,42.7,76,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100021658,75076757,PALL MALL EX GOLD C 14S 1 CAJETILLA,50 Nuevo León,500 Nuevo León,M505,C50503,1610,Juan Pablo Ii,0,0,1.14,36.45,39,DESABASTO
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.",008 Cigarros,100080957,75047337,BENSON&HEDGES PEARL CAPS CAJETILLA,50 Nuevo León,500 Nuevo León,M500,C50007,1612,Central De Autobuses,0,0,0.25,17.24,26,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100017982,75071776,PALL MALL CLASSICS 20,50 Nuevo León,500 Nuevo León,M503,C50304,1626,Hacienda Las Yucas,0,0,0.29,12.81,62,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100013891,75064778,PALL MALL RED 25 1PZ,50 Nuevo León,500 Nuevo León,M503,C50304,1626,Hacienda Las Yucas,0,0,0.5,31.03,80,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100004788,75051785,LUCKY STRIKE CLICK 4 MIX,50 Nuevo León,500 Nuevo León,M503,C50304,1626,Hacienda Las Yucas,0,0,0.36,24.63,11,DESABASTO
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.",008 Cigarros,100023892,7.50303E+12,MARLBORO BLOSSOM MIST MNT LATA DISCO 24 PZ,30 Jalisco-Baja California-Sonora,620 Baja California (Mexicali),M620,C62003,1803,Sebastian Lerdo de Tejada,0,0,0.14,9.66,67,DESABASTO
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.",008 Cigarros,100013136,75066345,MARLBORO FUSION SUMMER 100BOX 1CAJ,50 Nuevo León,500 Nuevo León,M501,C50107,363,Coahuila,2,125.86,2.86,179.8,6,DESABASTO
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.",008 Cigarros,100011672,75063801,MARLBORO CRAFTED ICE MIX,50 Nuevo León,500 Nuevo León,M507,C50707,403,Plaza Revolucion,0,0,0.26,13.63,84,DESABASTO
